"thumbborder src","tablescraper-selected-row","tablescraper-selected-row href","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png","Iran","https://en.wikipedia.org/wiki/Iran","517,899","625,430","421,882","428,321","460,809","408,288","458,042","486,829","516,221","651,524"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png","Iraq","https://en.wikipedia.org/wiki/Iraq","138,517","185,750","218,032","234,638","234,651","177,634","167,798","192,343","223,496","233,669"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/23px-Flag_of_Ireland.svg.png","Ireland","https://en.wikipedia.org/wiki/Republic_of_Ireland","222,096","238,959","225,771","238,344","259,237","291,805","299,009","336,259","385,911","399,366"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png","Israel","https://en.wikipedia.org/wiki/Israel","238,364","266,792","262,283","297,733","314,330","303,414","322,103","358,246","376,692","402,470"
"https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png","Italy","https://en.wikipedia.org/wiki/Italy","2,137,844","2,294,591","2,088,280","2,141,954","2,162,566","1,836,824","1,876,553","1,961,104","2,092,881","2,011,507"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/23px-Flag_of_Jamaica.svg.png","Jamaica","https://en.wikipedia.org/wiki/Jamaica","13,193","14,413","14,765","14,213","13,865","14,154","14,108","14,755","15,648","15,808"
"https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png","Japan","https://en.wikipedia.org/wiki/Japan","5,759,072","6,233,147","6,272,364","5,212,328","4,896,995","4,444,931","5,003,678","4,930,837","5,040,885","5,120,310"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/23px-Flag_of_Jordan.svg.png","Jordan","https://en.wikipedia.org/wiki/Jordan","27,134","29,524","31,679","34,503","36,900","38,642","39,949","41,467","42,993","44,566"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/23px-Flag_of_Kazakhstan.svg.png","Kazakhstan","https://en.wikipedia.org/wiki/Kazakhstan","148,047","192,626","207,999","236,635","221,416","184,388","137,289","166,806","179,340","181,667"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/23px-Flag_of_Kenya.svg.png","Kenya","https://en.wikipedia.org/wiki/Kenya","45,406","46,555","56,407","61,703","68,395","70,370","74,816","81,965","92,211","100,328"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/23px-Flag_of_Kiribati.svg.png","Kiribati","https://en.wikipedia.org/wiki/Kiribati","156","181","190","185","178","171","179","188","196","178"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png","South Korea","https://en.wikipedia.org/wiki/South_Korea","1,143,568","1,253,419","1,278,046","1,370,633","1,484,489","1,466,039","1,499,362","1,623,074","1,725,373","1,651,423"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/21px-Flag_of_Kosovo.svg.png","Kosovo","https://en.wikipedia.org/wiki/Kosovo","5,348","6,340","6,167","6,735","7,076","6,296","6,681","7,178","7,882","7,900"
"https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/23px-Flag_of_Kuwait.svg.png","Kuwait","https://en.wikipedia.org/wiki/Kuwait","115,401","154,020","174,066","174,179","162,695","114,606","109,381","120,687","138,202","136,192"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/23px-Flag_of_Kyrgyzstan.svg.png","Kyrgyzstan","https://en.wikipedia.org/wiki/Kyrgyzstan","4,794","6,198","6,604","7,335","7,467","6,678","6,813","7,703","8,271","8,872"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/23px-Flag_of_Laos.svg.png","Laos","https://en.wikipedia.org/wiki/Laos","7,506","8,964","10,194","11,972","13,266","14,418","15,905","17,055","18,131","18,791"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/23px-Flag_of_Latvia.svg.png","Latvia","https://en.wikipedia.org/wiki/Latvia","23,998","27,740","28,191","30,210","31,395","27,266","28,076","30,473","34,445","34,313"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/23px-Flag_of_Lebanon.svg.png","Lebanon","https://en.wikipedia.org/wiki/Lebanon","38,444","39,927","44,017","46,880","48,096","49,929","51,148","53,028","54,901","50,880"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/23px-Flag_of_Lesotho.svg.png","Lesotho","https://en.wikipedia.org/wiki/Lesotho","2,356","2,571","2,465","2,345","2,477","2,207","2,219","2,356","2,342","2,299"
